Code,Description
PFH,PMT - OPEN SEA CRUISE CHARTER
PFI,Fiordos del norte
PFJ,"VENECIA, CROACIA Y GRECIA"
PFK,SPRING RIDERS BOAT
PFL,ANTILLAS - ESPECIAL ARUBA
PFM,ECLIPSE SOLAR EN DUBÁI
PFN,FERNANDO DE NORONHA
PFO,ISLAS CANARIAS Y MARRUECOS
PFP,"ISRAEL, GRECIA Y CULTURAS"
PFQ,ANTILLAS-ESPECIAL CURAÇAO
PFR,FERNANDO DE NORONHA-REVEILLON
PFS,A SANTOS POR S.F. DO SUL
PFT,MENORCA Y FRANCIA
PFU,"LISBOA, MARRUECOS Y ANDAL."
PFV,MALAGA Y LISBOA
PFW,RITMOS JAMAICA Y CARIBE
PFX,"ISRAEL, EGIPTO, TURQUIA"
PFY,MALLORCA Y FRANCIA
PFZ,FIORDOS Y BALTICO
PGA,CDF - CROISIERE GASTRONOMIQUE
PGB,VENECIA CROACIA I.GRIEGAS
PGC,CARIBE MAGICO
PGD,PORTUGAL ESPANA MARRUECOS
PGE,"MALTA, SICILIA E ITALIA"
PGF,4 MARAVILLAS DEL MED.
PGG,SPRING STUDENTS BOAT
PGH,ISLANDIA E ISLAS FEROE
PGI,ISLANDIA Y FIORDOS
PGJ,ESCOCIA E IS. BRITANICAS
PGK,IRLANDA E IS. BRITANICAS
PGL,GLORIA
PGM,CRUCERO FIN DE CURSO
PGN,RUMO A ARGENTINA
PGO,SEIS ISLAS CANARIAS
PGQ,DUBAI Y ABU DHABI
PGR,ISLAS GRIEGAS
PGS,DUBAI Y DOHA
PGT,VIGO Y LISBOA
PGU,GUAPA
PGV,5 MERVEILLES MARSEILLE
PGW,4 MERVEILLES MARSEILLE
PGX,ESTAMBUL E ISLAS GRIEGAS
PGY,ORIENTE MAGICO
PGZ,DESCUBRE TIERRA SANTA
PHA,GRECIA Y EL ADRIATICO
PHB,GRECIA Y TIERRA SANTA
PHC,HACIA COSTA RICA (PURA VIDA)
PHD,"BALEARES,CORCEGA"
PHE,"BALEARES,COSTA AZUL"
PHF,LISBOA A MALAGA
PHR,NATAL -ITAJAÍ-ILHAB-BÚZIOS-RIO
PIB,ILES BLEUES
PIC,ISLAS DEL CARIBE
PIE,ISLAS DEL CARIBE ESPECIAL
PIF,M. CRUZEIRO ITAJAÍ-FCO DO SUL
PIL,ILHEUS-SALVADOR-RIO
PIM,Inaugural (Marseille-Marseille)
PIN,INTERNACIONAL SSZ-SSZ
PIP,ILHAB-BÚZIOS-P.TROP
PIR,IMPERATRIZ RUMO A SANTOS
PIS,"1,2,3 SOLEIL"
PIT,M. CRUZEIRO FCO DO SUL-SANTOS
PIZ,M. CRUZEIRO ITAJAÍ-BUZIOS
PJA,JÓIAS DO ATLÂNTICO
PJE,JOYAS DEL EGEO
PJV,SANTOS-ITAJAÍ-MONTEVIDEO
PKA,Kusadasi Y Antalya
PLC,ANDALUCIA Y CANARIAS
PLD,LA DEMENCE
PLE,Leyendas del Mediterráneo
PLG,CARIBE LEGENDARIO
PLI,L ITALIE SECRETE
PLR,NATAL- ILHAB-BÚZIOS-RIO-SANTOS
PMA,CRUZEIRO DA MATA ATLANTICA
PMB,BRISAS MEDITERRANEOS
PMC,MINI CRUZEIRO
PMD,Medina
PME,MEDITERRANEO FRANCIA
PMF,ITAJAI-SANTOS
PMG,ISLAS GRIEGAS Y TURQUIA
PMH,TRANS ST-MARTEEN BARCEL
PMI,MINI IMPERATRIZ
PMJ,JOYAS MEDITERRANEOS
PMK,BARCELONA MARSEILLE
PML,ESPECIAL MAlAGA-ALICANTE
PMM,TRANS STO.DOM BARCELONA
PMN,BELLEZAS DEL MAR NEGRO
PMP,M. CRUZEIRO BUZIOS-ILHAB-P.TROP
PMR,CDF-MARSEILLE-SANTOS O/J
PMS,MINI SOBERANO EM BUZIOS
PMU,SOLE MIO PLUS
PMV,RONDO VENEZIANO
PMY,PULLMANTUR - COZUMEL R/T
PMZ,MINI CRUZEIRO ZENITH
PNA,NATAL
PNB,NUITS BLANCHES
PNE,ENCANTOS DEL NORTE DE EUROPA
PNI,NATAL NO IMPERATRIZ
PNO,SOL DE MEDIANOCHE
PNR,MINI CRUZEIRO NORTE
PNS,NATAL NO SOBERANO
PNT,"NATAL - SALVADOR, BUZIOS E SANTOS"
PNW,PACIFIC NORTHWEST
PNZ,NATAL NO ZENITH
POC,Orange Cruise MLA-VLC
POD,Odyssée
POL,OLÉ!!
PPA,Paloma
PPB,DE LISBOA A RECIFE
PPC,DESDE ESPAÑA AL CARIBE
PPD,PACIFICO MEXICANO
PPE,MARES DE LA PENINSULA
PPL,DE PALMA A LISBOA
PP1,Escapadas al Pacifico 4N
PP2,Escapadas al Pacifico 3N
PRA,RIO-SANTOS
PRB,RIO DE JANEIRO E BUZIOS
PRC,REVEILLON EM COPACABANA
