Brand,Ship,Ship Name,Cabin Category Code,Ship Category Long Description,Inside or Outside Category
C,AT,CELEBRITY ASCENT,AS,AQUA SKY SUITES,O
C,AT,CELEBRITY ASCENT,O2,OCEAN VIEW,O
C,AT,CELEBRITY ASCENT,PO,PANORAMIC OCEAN VIEW STATEROOM,O
C,AT,CELEBRITY ASCENT,PS,PENTHOUSE SUITE,O
C,AT,CELEBRITY ASCENT,P1,DELUXE PORTHOLE VIEW WITH VERANDA,O
C,AT,CELEBRITY ASCENT,P2,DELUXE PORTHOLE VIEW WITH VERANDA,O
C,AT,CELEBRITY ASCENT,RS,ROYAL SUITE,O
C,AT,CELEBRITY ASCENT,SC,SUNSET CONCIERGE CLASS,O
C,AT,CELEBRITY ASCENT,O1,PRIME OCEANVIEW,O
C,AT,CELEBRITY ASCENT,SS,SUNSET SKY SUITE,O
C,AT,CELEBRITY ASCENT,S1,SKY SUITE,O
C,AT,CELEBRITY ASCENT,W,GUARANTEE DELUXE,X
C,AT,CELEBRITY ASCENT,X,GUARANTEE VERANDA,X
C,AT,CELEBRITY ASCENT,XA,GUARANTEE AQUACLASS,X
C,AT,CELEBRITY ASCENT,XC,GUARANTEE CONCIERGE CLASS,X
C,AT,CELEBRITY ASCENT,Y,GUARANTEE OCEAN VIEW,X
C,AT,CELEBRITY ASCENT,Z,GUARANTEE INSIDE,X
C,AT,CELEBRITY ASCENT,SV,SUNSET VERANDA,O
C,AT,CELEBRITY ASCENT,MS,MAGIC CARPET SKY SUITE,O
C,AT,CELEBRITY ASCENT,S2,SKY SUITE,O
C,AT,CELEBRITY ASCENT,I2,INSIDE,I
C,AT,CELEBRITY ASCENT,I3,INSIDE,I
C,AT,CELEBRITY ASCENT,A1,AQUACLASS STATEROOM WITH INFINITE VERANDA,O
C,AT,CELEBRITY ASCENT,A2,AQUACLASS STATEROOM WITH INFINITE VERANDA,O
C,AT,CELEBRITY ASCENT,CR,CREW CABIN CATEGORY,X
C,AT,CELEBRITY ASCENT,C1,CELEBRITY CONCIERGE CLASS WITH INFINITE VERANDA,O
C,AT,CELEBRITY ASCENT,C2,CELEBRITY CONCIERGE CLASS WITH INFINITE VERANDA,O
C,AT,CELEBRITY ASCENT,C3,CELEBRITY CONCIERGE CLASS WITH INFINITE VERANDA,O
C,AT,CELEBRITY ASCENT,DI,DELUXE INSIDE,I
C,AT,CELEBRITY ASCENT,CS,CELEBRITY SUITE,O
C,AT,CELEBRITY ASCENT,ES,EDGE SINGLE STATEROOM WITH INFINITE VERANDA,O
C,AT,CELEBRITY ASCENT,DO,DELUXE OCEANVIEW,O
C,AT,CELEBRITY ASCENT,IC,ICONIC SUITE,O
C,AT,CELEBRITY ASCENT,E3,EDGE STATEROOM WITH INFINITE VERANDA,O
C,AT,CELEBRITY ASCENT,I1,PRIME INSIDE,I
C,AT,CELEBRITY ASCENT,E2,EDGE STATEROOM WITH INFINITE VERANDA,O
C,AT,CELEBRITY ASCENT,E1,EDGE STATEROOM WITH INFINITE VERANDA,O
C,AT,CELEBRITY ASCENT,EX,INFINITE VERANDA GTY,X
C,AT,CELEBRITY ASCENT,EV,EDGE VILLA,O
C,AX,CELEBRITY APEX,V1,VISTA INFINITE VERANDA,O
C,AX,CELEBRITY APEX,S2,SKY SUITE,O
C,AX,CELEBRITY APEX,S1,SKY SUITE,O
C,AX,CELEBRITY APEX,S3,SKY SUITE,O
C,AX,CELEBRITY APEX,SV,SUNSET VERANDA,O
C,AX,CELEBRITY APEX,RS,ROYAL SUITE,O
C,AX,CELEBRITY APEX,SC,SUNSET CONCIERGE CLASS,O
C,AX,CELEBRITY APEX,P2,DELUXE PORTHOLE VIEW WITH VERANDA,O
C,AX,CELEBRITY APEX,W,GUARANTEE DELUXE,X
C,AX,CELEBRITY APEX,P1,DELUXE PORTHOLE VIEW WITH VERANDA,O
C,AX,CELEBRITY APEX,SS,SUNSET SKY SUITE,O
C,AX,CELEBRITY APEX,X,GUARANTEE VERANDA,X
C,AX,CELEBRITY APEX,1B,DELUXE OCEAN VIEW STATEROOM WITH VERANDA,O
C,AX,CELEBRITY APEX,XC,GUARANTEE CONCIERGE CLASS,X
C,AX,CELEBRITY APEX,PS,PENTHOUSE SUITE,O
C,AX,CELEBRITY APEX,12,INSIDE STATEROOM,I
C,AX,CELEBRITY APEX,11,DELUXE INSIDE STATEROOM,I
C,AX,CELEBRITY APEX,10,DELUXE INSIDE STATEROOM,I
C,AX,CELEBRITY APEX,1A,DELUXE OCEAN VIEW STATEROOM WITH VERANDA,O
C,AX,CELEBRITY APEX,9,DELUXE INSIDE STATEROOM,I
C,AX,CELEBRITY APEX,8,OCEAN VIEW STATEROOM,O
C,AX,CELEBRITY APEX,7,OCEAN VIEW STATEROOM,O
C,AX,CELEBRITY APEX,6,DELUXE OCEAN VIEW STATEROOM,O
C,AX,CELEBRITY APEX,Z,GUARANTEE INSIDE,X
C,AX,CELEBRITY APEX,Y,GUARANTEE OCEAN VIEW,X
C,AX,CELEBRITY APEX,XA,GUARANTEE AQUACLASS,X
C,AX,CELEBRITY APEX,PO,PANORAMIC OCEAN VIEW STATEROOM,O
C,AX,CELEBRITY APEX,E4,EDGE STATEROOM WITH INFINITE VERANDA,O
C,AX,CELEBRITY APEX,O1,PRIME OCEANVIEW,O
C,AX,CELEBRITY APEX,DX,DESTIONATION CLASS,O
C,AX,CELEBRITY APEX,DO,DELUXE OCEANVIEW,O
C,AX,CELEBRITY APEX,DI,DELUXE INSIDE,I
C,AX,CELEBRITY APEX,C3,CELEBRITY CONCIERGE CLASS WITH INFINITE VERANDA,O
C,AX,CELEBRITY APEX,C2,CELEBRITY CONCIERGE CLASS WITH INFINITE VERANDA,O
C,AX,CELEBRITY APEX,C1,CELEBRITY CONCIERGE CLASS WITH INFINITE VERANDA,O
C,AX,CELEBRITY APEX,CS,CELEBRITY SUITE,O
C,AX,CELEBRITY APEX,CR,CREW CABIN CATEGORY,X
C,AX,CELEBRITY APEX,A2,AQUACLASS STATEROOM WITH INFINITE VERANDA,O
C,AX,CELEBRITY APEX,O2,OCEAN VIEW,O
C,AX,CELEBRITY APEX,AS,AQUA SKY SUITE,O
C,AX,CELEBRITY APEX,D1,DESTINATION CLASS,O
C,AX,CELEBRITY APEX,D2,DESTINATION CLASS,O
C,AX,CELEBRITY APEX,A1,AQUACLASS STATEROOM WITH INFINITE VERANDA,O
C,AX,CELEBRITY APEX,EV,EDGE VILLA,O
C,AX,CELEBRITY APEX,ES,EDGE SINGLE STATEROOM WITH INFINITE VERANDA,O
C,AX,CELEBRITY APEX,I3,INSIDE,I
C,AX,CELEBRITY APEX,I2,INSIDE,I
C,AX,CELEBRITY APEX,I1,PRIME INSIDE,I
C,AX,CELEBRITY APEX,IC,ICONIC SUITE,O
C,AX,CELEBRITY APEX,MS,MAGIC CARPET SKU SUITE,O
C,AX,CELEBRITY APEX,E3,EDGE STATEROOM WITH INFINITE VERANDA,O
C,AX,CELEBRITY APEX,E2,EDGE STATEROOM WITH INFINITE VERANDA,O
C,AX,CELEBRITY APEX,E1,EDGE STATEROOM WITH INFINITE VERANDA,O
C,AX,CELEBRITY APEX,E5,EDGE STATEROOM WITH INFINITE VERANDA,O
C,AX,CELEBRITY APEX,EX,INFINITE VERANDA GTY,X
C,BY,CELEBRITY BEYOND,P2,DELUXE PORTHOLE VIEW WITH VERANDA,O
C,BY,CELEBRITY BEYOND,V1,VISTA INFINITE VERANDA,O
C,BY,CELEBRITY BEYOND,S3,SKY SUITE,O
C,BY,CELEBRITY BEYOND,S2,SKY SUITE,O
C,BY,CELEBRITY BEYOND,SS,SUNSET SKY SUITE,O
C,BY,CELEBRITY BEYOND,SV,SUNSET VERANDA,O
C,BY,CELEBRITY BEYOND,SC,SUNSET CONCIERGE CLASS,O
C,BY,CELEBRITY BEYOND,RS,ROYAL SUITE,O
C,BY,CELEBRITY BEYOND,W,GUARANTEE DELUXE,X
C,BY,CELEBRITY BEYOND,S1,SKY SUITE,O
C,BY,CELEBRITY BEYOND,X,GUARANTEE VERANDA,X
C,BY,CELEBRITY BEYOND,7,OCEAN VIEW STATEROOM,O
C,BY,CELEBRITY BEYOND,XC,GUARANTEE CONCIERGE CLASS,X
C,BY,CELEBRITY BEYOND,P1,DELUXE PORTHOLE VIEW WITH VERANDA,O
C,BY,CELEBRITY BEYOND,12,INSIDE STATEROOM,I
C,BY,CELEBRITY BEYOND,11,DELUXE INSIDE STATEROOM,I
C,BY,CELEBRITY BEYOND,10,DELUXE INSIDE STATEROOM,I
C,BY,CELEBRITY BEYOND,9,DELUXE INSIDE STATEROOM,I
C,BY,CELEBRITY BEYOND,8,OCEAN VIEW STATEROOM,O
C,BY,CELEBRITY BEYOND,6,DELUXE OCEAN VIEW STATEROOM,O
C,BY,CELEBRITY BEYOND,Z,GUARANTEE INSIDE,X
C,BY,CELEBRITY BEYOND,Y,GUARANTEE OCEAN VIEW,X
C,BY,CELEBRITY BEYOND,XA,GUARANTEE AQUACLASS,X
C,BY,CELEBRITY BEYOND,PS,PENTHOUSE SUITE,O
C,BY,CELEBRITY BEYOND,PO,PANORAMIC OCEAN VIEW STATEROOM,O
C,BY,CELEBRITY BEYOND,C1,CELEBRITY CONCIERGE CLASS WITH INFINITE VERANDA,O
C,BY,CELEBRITY BEYOND,DI,DELUXE INSIDE,I
C,BY,CELEBRITY BEYOND,C3,CELEBRITY CONCIERGE CLASS WITH INFINITE VERANDA,O
C,BY,CELEBRITY BEYOND,C2,CELEBRITY CONCIERGE CLASS WITH INFINITE VERANDA,O
C,BY,CELEBRITY BEYOND,CS,CELEBRITY SUITE,O
C,BY,CELEBRITY BEYOND,CR,CREW CABIN CATEGORY,X
C,BY,CELEBRITY BEYOND,A2,AQUACLASS STATEROOM WITH INFINITE VERANDA,O
C,BY,CELEBRITY BEYOND,A1,AQUACLASS STATEROOM WITH INFINITE VERANDA,O
C,BY,CELEBRITY BEYOND,AS,AQUA SKY SUITES,O
C,BY,CELEBRITY BEYOND,O2,OCEAN VIEW,O
C,BY,CELEBRITY BEYOND,ES,EDGE SINGLE STATEROOM WITH INFINITE VERANDA,O
C,BY,CELEBRITY BEYOND,EV,EDGE VILLA,O
C,BY,CELEBRITY BEYOND,DO,DELUXE OCEANVIEW,O
C,BY,CELEBRITY BEYOND,E1,EDGE STATEROOM WITH INFINITE VERANDA,O
C,BY,CELEBRITY BEYOND,O1,PRIME OCEANVIEW,O
C,BY,CELEBRITY BEYOND,MS,MAGIC CARPET SKU SUITE,O
C,BY,CELEBRITY BEYOND,I3,INSIDE,I
C,BY,CELEBRITY BEYOND,I2,INSIDE,I
C,BY,CELEBRITY BEYOND,EX,INFINITE VERANDA GTY,X
C,BY,CELEBRITY BEYOND,IC,ICONIC SUITE,O
C,BY,CELEBRITY BEYOND,I1,PRIME INSIDE,I
C,BY,CELEBRITY BEYOND,E5,EDGE STATEROOM WITH INFINITE VERANDA,O
C,BY,CELEBRITY BEYOND,E4,EDGE STATEROOM WITH INFINITE VERANDA,O
C,BY,CELEBRITY BEYOND,E3,EDGE STATEROOM WITH INFINITE VERANDA,O
C,BY,CELEBRITY BEYOND,E2,EDGE STATEROOM WITH INFINITE VERANDA,O
C,CS,CELEBRITY CONSTELLATION,W,GUARANTEE DELUXE,X
C,CS,CELEBRITY CONSTELLATION,XC,GUARANTEE - CONCIERGE CLASS,X
C,CS,CELEBRITY CONSTELLATION,XA,GUARANTEE AQUA CLASS,X
C,CS,CELEBRITY CONSTELLATION,X,GUARANTEE - VERANDA,X
C,CS,CELEBRITY CONSTELLATION,Y,GUARANTEE - OCEANVIEW,X
C,CS,CELEBRITY CONSTELLATION,V3,VERANDA (PARTIAL VIEW),O
C,CS,CELEBRITY CONSTELLATION,S2,SKY SUITE WITH VERANDA (BUTLER SERVICE),O
C,CS,CELEBRITY CONSTELLATION,V1,PRIME VERANDA,O
C,CS,CELEBRITY CONSTELLATION,VC,VERANDA CONNECTING STATEROOM,O
C,CS,CELEBRITY CONSTELLATION,UV,ULTRA DELUXE VERANDA,O
C,CS,CELEBRITY CONSTELLATION,UC,ULTRA DELUXE CONCIERGE CLASS,O
C,CS,CELEBRITY CONSTELLATION,S1,SKY SUITE WITH VERANDA (BUTLER SERVICE),O
C,CS,CELEBRITY CONSTELLATION,Z,INSIDE GUARANTEE CATEGORY,X
C,CS,CELEBRITY CONSTELLATION,V2,VERANDA,O
C,CS,CELEBRITY CONSTELLATION,3,LARGE OCEAN VIEW STATEROOM W/VERANDA,O
C,CS,CELEBRITY CONSTELLATION,12,INSIDE STATEROOM,I
C,CS,CELEBRITY CONSTELLATION,5,OCEAN VIEW STATEROOM,O
C,CS,CELEBRITY CONSTELLATION,2C,DLX OCEAN VIEW STATEROOM W/VERANDA,O
C,CS,CELEBRITY CONSTELLATION,2B,DLX OCEAN VIEW STATEROOM W/VERANDA,O
C,CS,CELEBRITY CONSTELLATION,2A,DLX OCEAN VIEW STATEROOM W/VERANDA,O
C,CS,CELEBRITY CONSTELLATION,SV,SUNSET VERANDA,O
C,CS,CELEBRITY CONSTELLATION,11,INSIDE STATEROOM,I
C,CS,CELEBRITY CONSTELLATION,10,INSIDE STATEROOM,I
C,CS,CELEBRITY CONSTELLATION,1C,PREM-OCEAN VIEW STATEROOM W/VERANDA,O
C,CS,CELEBRITY CONSTELLATION,1B,PREM-OCEAN VIEW STATEROOM W/VERANDA,O
C,CS,CELEBRITY CONSTELLATION,1A,PREM OCEAN-VIEW STATEROOM W/ VERANDA,O
C,CS,CELEBRITY CONSTELLATION,9,INSIDE STATEROOM,I
C,CS,CELEBRITY CONSTELLATION,8,OCEAN VIEW STATEROOM,O
C,CS,CELEBRITY CONSTELLATION,7,OCEAN VIEW STATEROOM,O
C,CS,CELEBRITY CONSTELLATION,6,OCEAN VIEW STATEROOM,O
C,CS,CELEBRITY CONSTELLATION,4,OCEAN VIEW STATEROOM,O
C,CS,CELEBRITY CONSTELLATION,SS,SKY SUITE WITH VERANDA (BUTLER SERVICE),O
C,CS,CELEBRITY CONSTELLATION,O2,OCEAN VIEW,O
C,CS,CELEBRITY CONSTELLATION,SC,SUNSET CCONCIERGE CLASS,O
C,CS,CELEBRITY CONSTELLATION,C2,CELEBRITY CONCIERGE CLASS - PREMIUM OCEANVIEW,O
C,CS,CELEBRITY CONSTELLATION,C1,CELEBRITY CONCIERGE CLASS - PREMIUM OCEANVIEW,O
C,CS,CELEBRITY CONSTELLATION,CS,CELEBRITY SUITE,O
C,CS,CELEBRITY CONSTELLATION,CR,CREW CABIN CATEGORY,X
C,CS,CELEBRITY CONSTELLATION,SN,SUNSET SUITE,O
C,CS,CELEBRITY CONSTELLATION,A2,AQUACLASS,O
C,CS,CELEBRITY CONSTELLATION,A1,AQUACLASS,O
C,CS,CELEBRITY CONSTELLATION,AZ,ACCESSIBLE INSIDE STATEROOM,I
C,CS,CELEBRITY CONSTELLATION,AY,ACCESSIBLE OCEAN VIEW STATEROOM,O
C,CS,CELEBRITY CONSTELLATION,AX,ACCESSIBLE VERANDA,O
C,CS,CELEBRITY CONSTELLATION,AW,ACCESSIBLE SUITE,O
C,CS,CELEBRITY CONSTELLATION,AS,AQUA SKY SUITE,O
C,CS,CELEBRITY CONSTELLATION,AC,ACCESSIBLE CONCIERGE CLASS,O
C,CS,CELEBRITY CONSTELLATION,C3,CELEBRITY CONCIERGE CLASS - PREMIUM OCEANVIEW,O
C,CS,CELEBRITY CONSTELLATION,DO,DELUXE OCEAN VIEW,O
C,CS,CELEBRITY CONSTELLATION,CC,CELEBRITY CONNECTING CONCIERGE CLASS,O
C,CS,CELEBRITY CONSTELLATION,DX,DESTINATION GTY,X
C,CS,CELEBRITY CONSTELLATION,DV,DELUXE VERANDA,O
C,CS,CELEBRITY CONSTELLATION,RS,ROYAL SUITE WITH VERANDA (BUTLER SERVICE),O
C,CS,CELEBRITY CONSTELLATION,PS,PENTHOUSE SUITE WITH VERANA (BUTLER SERVICE),O
C,CS,CELEBRITY CONSTELLATION,O3,OCEAN VIEW,O
C,CS,CELEBRITY CONSTELLATION,OC,OCEAN VIEW CONNECTING STATEROOM,O
C,CS,CELEBRITY CONSTELLATION,I3,INSIDE,I
C,CS,CELEBRITY CONSTELLATION,O1,PRIME OCEAN VIEW,O
C,CS,CELEBRITY CONSTELLATION,I1,PRIME INSIDE,I
C,CS,CELEBRITY CONSTELLATION,D1,DESTINAITON CLASS,O
C,CS,CELEBRITY CONSTELLATION,I2,INSIDE,I
C,CS,CELEBRITY CONSTELLATION,FV,FAMILY OCEANVIEW VERANDA STATEROOM,O
C,CS,CELEBRITY CONSTELLATION,D2,DESTINATION CLASS,O
C,CS,CELEBRITY CONSTELLATION,IC,INSIDE CONNECTING STATEROOM,I
C,EC,CELEBRITY ECLIPSE,XA,GUARANTEE AQUACLASS,X
C,EC,CELEBRITY ECLIPSE,V2,VERANDA,O
C,EC,CELEBRITY ECLIPSE,X,GUARANTEE VERANDA,X
C,EC,CELEBRITY ECLIPSE,W,GUARANTEE DELUXE,X
C,EC,CELEBRITY ECLIPSE,V3,VERANDA(PARTIAL VIEW),O
C,EC,CELEBRITY ECLIPSE,V1,PRIME VERANDA,O
C,EC,CELEBRITY ECLIPSE,SN,SUNSET SUITE,O
C,EC,CELEBRITY ECLIPSE,UV,ULTRA DELUXE VERANDA,O
C,EC,CELEBRITY ECLIPSE,S2,SKY SUITE,O
C,EC,CELEBRITY ECLIPSE,S1,SKY SUITE,O
C,EC,CELEBRITY ECLIPSE,SV,SUNSET VERANDA,O
C,EC,CELEBRITY ECLIPSE,SS,SUNSET SKY SUITE,O
C,EC,CELEBRITY ECLIPSE,XC,GUARANTEE CONCIERGE CLASS,X
C,EC,CELEBRITY ECLIPSE,VC,VERANDA CONNECTING STATEROOM,O
C,EC,CELEBRITY ECLIPSE,Y,GUARANTEE OCEAN VIEW,X
C,EC,CELEBRITY ECLIPSE,SG,SIGNATURE SUITE,O
C,EC,CELEBRITY ECLIPSE,7,OCEAN VIEW STATEROOM,O
C,EC,CELEBRITY ECLIPSE,9S,INSIDE SINGLE STATEROOM,I
C,EC,CELEBRITY ECLIPSE,2D,DELUXE OCEAN VIEW STATEROOM WITH VERANDA,O
C,EC,CELEBRITY ECLIPSE,2C,DELUXE OCEAN VIEW STATEROOM WITH VERANDA,O
C,EC,CELEBRITY ECLIPSE,2B,DELUXE OCEAN VIEW STATEROOM WITH VERANDA,O
C,EC,CELEBRITY ECLIPSE,2A,DELUXE OCEAN VIEW STATEROOM WITH VERANDA,O
C,EC,CELEBRITY ECLIPSE,12,INSIDE STATEROOM,I
C,EC,CELEBRITY ECLIPSE,11,INSIDE STATEROOM,I
C,EC,CELEBRITY ECLIPSE,10,INSIDE STATEROOM,I
C,EC,CELEBRITY ECLIPSE,1C,DELUXE OCEAN VIEW STATEROOM WITH VERANDA,O
C,EC,CELEBRITY ECLIPSE,1B,DELUXE OCEAN VIEW STATEROOM WITH VERANDA,O
C,EC,CELEBRITY ECLIPSE,1A,DELUXE OCEAN VIEW STATEROOM WITH VERANDA,O
C,EC,CELEBRITY ECLIPSE,9,INSIDE STATEROOM,I
C,EC,CELEBRITY ECLIPSE,8,OCEAN VIEW STATEROOM,O
C,EC,CELEBRITY ECLIPSE,Z,INSIDE STATEROOM GTY,X
C,EC,CELEBRITY ECLIPSE,SC,SUNSET CONCIERGE CLASS,O
C,EC,CELEBRITY ECLIPSE,CR,CREW CABIN CATEGORY,X
C,EC,CELEBRITY ECLIPSE,RF,REFLECTION SUITE,O
C,EC,CELEBRITY ECLIPSE,CS,CELEBRITY SUITE,O
C,EC,CELEBRITY ECLIPSE,RS,ROYAL SUITE,O
C,EC,CELEBRITY ECLIPSE,CC,CELEBRITY CONNECTING CONCIERGE CLASS,O
C,EC,CELEBRITY ECLIPSE,A2,AQUACLASS,O
C,EC,CELEBRITY ECLIPSE,A1,AQUACLASS,O
C,EC,CELEBRITY ECLIPSE,C1,CONCIERGE CLASS,O
C,EC,CELEBRITY ECLIPSE,AZ,ACCESSIBLE INSIDE STATEROOM,I
C,EC,CELEBRITY ECLIPSE,AX,ACCESSIBLE VERANDA,O
C,EC,CELEBRITY ECLIPSE,AW,ACCESSIBLE SUITE,O
C,EC,CELEBRITY ECLIPSE,AS,AQUA SKY SUITE,O
C,EC,CELEBRITY ECLIPSE,AQ,AQUACLASS,O
C,EC,CELEBRITY ECLIPSE,AC,ACCESSIBLE CONCIERGE CLASS,O
C,EC,CELEBRITY ECLIPSE,AY,ACCESSIBLE OCEAN VIEW STATEROOM,O
C,EC,CELEBRITY ECLIPSE,C2,CONCIERGE CLASS,O
C,EC,CELEBRITY ECLIPSE,AA,ACCESSIBLE AQUACLASS,O
C,EC,CELEBRITY ECLIPSE,DV,DELUXE VERANDA,O
C,EC,CELEBRITY ECLIPSE,PS,PENTHOUSE SUITE,O
C,EC,CELEBRITY ECLIPSE,O3,OCEAN VIEW,O
C,EC,CELEBRITY ECLIPSE,O2,OCEAN VIEW,O
C,EC,CELEBRITY ECLIPSE,O1,PRIME OCEANVIEW,O
C,EC,CELEBRITY ECLIPSE,C3,CONCIERGE CLASS,O
C,EC,CELEBRITY ECLIPSE,I3,INSIDE,I
C,EC,CELEBRITY ECLIPSE,OC,OCEAN VIEW CONNECTING STATEROOM,O
C,EC,CELEBRITY ECLIPSE,I1,PRIME INSIDE,I
C,EC,CELEBRITY ECLIPSE,I2,INSIDE,I
C,EC,CELEBRITY ECLIPSE,D1,DESTINATION CLASS,O
C,EC,CELEBRITY ECLIPSE,DX,GUARANTEE DESTINATION CLASS,X
C,EC,CELEBRITY ECLIPSE,FV,LARGE OCEAN VIEW STATEROOM WITH VERANDA,O
C,EC,CELEBRITY ECLIPSE,HS,HORIZON SUITE,O
C,EC,CELEBRITY ECLIPSE,D2,DESTINATION CLASS,O
C,EG,CELEBRITY EDGE,S3,SKY SUITE,O
C,EG,CELEBRITY EDGE,S2,SKY SUITE,O
C,EG,CELEBRITY EDGE,S1,SKY SUITE,O
C,EG,CELEBRITY EDGE,SV,SUNSET VERANDA,O
C,EG,CELEBRITY EDGE,SS,SUNSET SKY SUITE,O
C,EG,CELEBRITY EDGE,PS,PENTHOUSE SUITE,O
C,EG,CELEBRITY EDGE,SF,SKY FAMILY SUITE,O
C,EG,CELEBRITY EDGE,SC,SUNSET CONCIERGE CLASS,O
C,EG,CELEBRITY EDGE,RS,ROYAL SUITE,O
C,EG,CELEBRITY EDGE,P2,DELUXE PORTHOLE VIEW WITH VERANDA,O
C,EG,CELEBRITY EDGE,P1,DELUXE PORTHOLE VIEW WITH VERANDA,O
C,EG,CELEBRITY EDGE,VC,VERANDA CONNECTING STATEROOM,O
C,EG,CELEBRITY EDGE,SM,MAGIC CARPET SKY SUITE,O
C,EG,CELEBRITY EDGE,V1,VISTA INFINITE VERANDA,O
C,EG,CELEBRITY EDGE,7,OCEAN VIEW STATEROOM,O
C,EG,CELEBRITY EDGE,X,GUARANTEE VERANDA,X
C,EG,CELEBRITY EDGE,PO,PANORAMIC OCEAN VIEW STATEROOM,O
C,EG,CELEBRITY EDGE,12,INSIDE STATEROOM,I
C,EG,CELEBRITY EDGE,11,DELUXE INSIDE STATEROOM,I
C,EG,CELEBRITY EDGE,10,DELUXE INSIDE STATEROOM,I
C,EG,CELEBRITY EDGE,1B,DELUXE OCEAN VIEW STATEROOM WITH VERANDA,O
C,EG,CELEBRITY EDGE,1A,DELUXE OCEAN VIEW STATEROOM WITH VERANDA,O
C,EG,CELEBRITY EDGE,9,DELUXE INSIDE STATEROOM,I
C,EG,CELEBRITY EDGE,8,OCEAN VIEW STATEROOM,O
C,EG,CELEBRITY EDGE,6,DELUXE OCEAN VIEW STATEROOM,O
C,EG,CELEBRITY EDGE,Z,INSIDE STRM,X
C,EG,CELEBRITY EDGE,Y,GUARANTEE OCEAN VIEW,X
C,EG,CELEBRITY EDGE,XC,GUARANTEE CONCIERGE CLASS,X
C,EG,CELEBRITY EDGE,XA,GUARANTEE AQUACLASS,X
C,EG,CELEBRITY EDGE,W,GUARANTEE DELUXE,X
C,EG,CELEBRITY EDGE,O2,OCEAN VIEW,O
C,EG,CELEBRITY EDGE,O1,PRIME OCEANVIEW,O
C,EG,CELEBRITY EDGE,OC,OCEAN VIEW CONNECTING STATEROOM,O
C,EG,CELEBRITY EDGE,DX,DESTINATION CLASS,O
C,EG,CELEBRITY EDGE,DO,DELUXE OCEANVIEW,O
C,EG,CELEBRITY EDGE,DI,DELUXE INSIDE,I
C,EG,CELEBRITY EDGE,C3,CELEBRITY CONCIERGE CLASS WITH INFINITE VERANDA,O
C,EG,CELEBRITY EDGE,C1,CELEBRITY CONCIERGE CLASS WITH INFINITE VERANDA,O
C,EG,CELEBRITY EDGE,D1,DESTINATION CLASS,O
C,EG,CELEBRITY EDGE,CS,CELEBRITY SUITE,O
C,EG,CELEBRITY EDGE,CF,CELEBRITY FAMILY SUITE,O
C,EG,CELEBRITY EDGE,CC,CELEBRITY CONNECTING CONCIERGE CLASS,O
C,EG,CELEBRITY EDGE,A2,AQUACLASS,O
C,EG,CELEBRITY EDGE,A1,PRIME AQUACLASS,O
C,EG,CELEBRITY EDGE,AS,AQUA SKY SUITE,O
C,EG,CELEBRITY EDGE,CR,CREW CABIN CATEGORY,X
C,EG,CELEBRITY EDGE,D2,DESTINATION CLASS,O
C,EG,CELEBRITY EDGE,C2,CELEBRITY CONCIERGE CLASS WITH INFINITE VERANDA,O
C,EG,CELEBRITY EDGE,EV,EDGE VILLA,O
C,EG,CELEBRITY EDGE,ES,EDGE SINGLE STATEROOM WITH INFINITE VERANDA,O
C,EG,CELEBRITY EDGE,I3,INSIDE,I
C,EG,CELEBRITY EDGE,I2,INSIDE,I
C,EG,CELEBRITY EDGE,I1,PRIME INSIDE,I
C,EG,CELEBRITY EDGE,IO,PANORAMIC OCEAN VIEW STATEROOM,O
C,EG,CELEBRITY EDGE,IC,ICONIC SUITE,O
C,EG,CELEBRITY EDGE,MS,MAGIC CARPET SKY SUITE,O
C,EG,CELEBRITY EDGE,E4,EDGE STATEROOM WITH INFINITE VERANDA,O
C,EG,CELEBRITY EDGE,E5,EDGE STATEROOM WITH INFINITE VERANDA,O
C,EG,CELEBRITY EDGE,E1,EDGE STATEROOM WITH INFINITE VERANDA,O
C,EG,CELEBRITY EDGE,EX,INFINITE VERANDA GTY,X
C,EG,CELEBRITY EDGE,E3,EDGE STATEROOM WITH INFINITE VERANDA,O
C,EG,CELEBRITY EDGE,E2,EDGE STATEROOM WITH INFINITE VERANDA,O
C,EQ,CELEBRITY EQUINOX,V1,PRIME VERANDA,O
C,EQ,CELEBRITY EQUINOX,W,GUARANTEE DELUXE,X
C,EQ,CELEBRITY EQUINOX,V3,VERANDA(PARTIAL VIEW),O
C,EQ,CELEBRITY EQUINOX,V2,VERANDA,O
C,EQ,CELEBRITY EQUINOX,X,GUARANTEE VERANDA,X
C,EQ,CELEBRITY EQUINOX,VC,VERANDA CONNECTING STATEROOM,O
C,EQ,CELEBRITY EQUINOX,S1,SKY SUITE,O
C,EQ,CELEBRITY EQUINOX,S2,SKY SUITE,O
C,EQ,CELEBRITY EQUINOX,SV,SUNSET VERANDA,O
C,EQ,CELEBRITY EQUINOX,SS,SUNSET SKY SUITE,O
C,EQ,CELEBRITY EQUINOX,SN,SUNSET SUITE,O
C,EQ,CELEBRITY EQUINOX,XA,GUARANTEE AQUACLASS,X
C,EQ,CELEBRITY EQUINOX,UV,ULTRA DELUXE VERANDA,O
C,EQ,CELEBRITY EQUINOX,XC,GUARANTEE CONCIERGE CLASS,X
C,EQ,CELEBRITY EQUINOX,2C,DELUXE OCEAN VIEW STATEROOM W/ OBSTRUCTED VERANDA,O
