Brand,Ship Code,Ship Name,Deck Code,Deck Name,Deck Number
C,FL,CELEBRITY FLORA,03,DECK THREE,3
C,FL,CELEBRITY FLORA,05,DECK FIVE,5
C,FL,CELEBRITY FLORA,07,DECK SEVEN,7
C,FL,CELEBRITY FLORA,08,DECK EIGHT,8
C,FL,CELEBRITY FLORA,06,DECK SIX,6
C,IN,CELEBRITY INFINITY,EN,ENTERTAINMENT DECK,5
C,IN,CELEBRITY INFINITY,MD,MEDICAL DECK,1
C,IN,CELEBRITY INFINITY,CN,CONTINENTAL DECK,2
C,IN,CELEBRITY INFINITY,PL,PLAZA DECK,3
C,IN,CELEBRITY INFINITY,PD,PROMENADE DECK,4
C,IN,CELEBRITY INFINITY,PH,PENTHOUSE DECK,6
C,IN,CELEBRITY INFINITY,VS,VISTA DECK,7
C,IN,CELEBRITY INFINITY,PN,PANORAMA DECK,8
C,IN,CELEBRITY INFINITY,SK,SKY DECK,9
C,IN,CELEBRITY INFINITY,RS,RESORT DECK,10
C,IN,CELEBRITY INFINITY,SR,SUNRISE DECK,11
C,IN,CELEBRITY INFINITY,SP,SPORTS DECK,12
C,ML,CELEBRITY MILLENNIUM,MD,MEDICAL DECK,1
C,ML,CELEBRITY MILLENNIUM,PD,PROMENADE DECK,4
C,ML,CELEBRITY MILLENNIUM,EN,ENTERTAINMENT DECK,5
C,ML,CELEBRITY MILLENNIUM,CN,CONTINENTAL DECK,2
C,ML,CELEBRITY MILLENNIUM,PL,PLAZA DECK,3
C,ML,CELEBRITY MILLENNIUM,PH,PENTHOUSE DECK,6
C,ML,CELEBRITY MILLENNIUM,SK,SKY DECK,9
C,ML,CELEBRITY MILLENNIUM,PN,PANORAMA DECK,8
C,ML,CELEBRITY MILLENNIUM,RS,RESORT DECK,10
C,ML,CELEBRITY MILLENNIUM,SR,SUNRISE DECK,11
C,ML,CELEBRITY MILLENNIUM,SP,SPORTS DECK,12
C,ML,CELEBRITY MILLENNIUM,VS,VISTA DECK,7
C,RF,CELEBRITY REFLECTION,EN,ENTERTAINMENT DECK,5
C,RF,CELEBRITY REFLECTION,PD,PROMENADE DECK,4
C,RF,CELEBRITY REFLECTION,MD,MEDICAL DECK,2
C,RF,CELEBRITY REFLECTION,CN,CONTINENTAL DECK,6
C,RF,CELEBRITY REFLECTION,PL,PLAZA DECK,3
C,RF,CELEBRITY REFLECTION,SR,SUNRISE DECK,7
C,RF,CELEBRITY REFLECTION,VS,VISTA DECK,8
C,RF,CELEBRITY REFLECTION,SD,SOLSTICE DECK,16
C,RF,CELEBRITY REFLECTION,SK,SKY DECK,10
C,RF,CELEBRITY REFLECTION,PH,PENTHOUSE DECK,11
C,RF,CELEBRITY REFLECTION,RS,RESORT DECK,12
C,RF,CELEBRITY REFLECTION,LD,LIDO DECK,14
C,RF,CELEBRITY REFLECTION,LC,THE LAWN CLUB,15
C,RF,CELEBRITY REFLECTION,PN,PANORAMA DECK,9
C,SI,CELEBRITY SILHOUETTE,CN,CONTINENTAL DECK,6
C,SI,CELEBRITY SILHOUETTE,EN,ENTERTAINMENT DECK,5
C,SI,CELEBRITY SILHOUETTE,SR,SUNRISE DECK,7
C,SI,CELEBRITY SILHOUETTE,PL,PLAZA DECK,3
C,SI,CELEBRITY SILHOUETTE,MD,MEDICAL DECK,2
C,SI,CELEBRITY SILHOUETTE,PD,PROMENADE DECK,4
C,SI,CELEBRITY SILHOUETTE,VS,VISTA DECK,8
