Port Code,Port Name,Country Code
VWI,"VOLCANIC WHITE ISLAND, N.Z.",NZL
COW,"LA SERENA (COQUIMBO), CHILE",CHL
FJI,"LAUTOKA, FIJI",FJI
IBT,"IMBITUBA,BRAZIL - NO DEBARK",BRA
CDX,"CID HARBOUR, AUSTRALIA",AUS
KOS,"SIHANOUKVILLE, CAMBODIA",KHM
SYX,"SANYA, CHINA",CHN
SUV,"SUVA, FIJI",FJI
KDX,"KOMODO, INDONESIA",IDN
KKS,KRAKATOA VOLCANO (CRUISING),IDN
LMK,"LOMBOK, INDONESIA",IDN
UVE,"OUVEA(WADRILLA),LOYALTY ISL.",NCL
FUK,"FUKUOKA, JAPAN",JPN
KOJ,"KAGOSHIMA, JAPAN",JPN
OKA,"OKINAWA, JAPAN",JPN
YOK,"TOKYO (YOKOHAMA), JAPAN",JPN
LGK,"LANGKAWI, MALAYSIA",MYS
ILP,"ISLE OF PINES, NEW CALEDONIA",NCL
NOU,"NOUMEA, NEW CALEDONIA",NCL
CJU,"JEJU ISLAND, SOUTH KOREA",KOR
PUS,"BUSAN, SOUTH KOREA",KOR
KHH,"KAOHSIUNG, TAIWAN, CHINA",TWN
TPE,"TAIPEI(KEELUNG),TAIWAN,CHINA",TWN
VLI,"VILA, VANUATU",VUT
HPH,"HANOI (HAIPHONG), VIETNAM",VNM
SMR,"SANTA MARTA, COLOMBIA",COL
STM,"SANTAREM, BRAZIL",BRA
BDV,"BOCA DA VALERIA, BRAZIL",BRA
MNS,"MANAUS, BRAZIL",BRA
PIN,"PARINTINS, BRAZIL",BRA
BLM,"BELEM, BRAZIL",BRA
NVT,"ITAJAI, BRAZIL",BRA
RNX,"CAMARONES, ARGENTINA",ARG
CRD,"COMODORO RIVADAVIA,ARGENTINA",ARG
PNT,"PUERTO NATALES, CHILE",CHL
PCH,"PUERTO CHACABUCO, CHILE",CHL
ZAL,VALDIVIA(PUERTO CORRAL)CHILE,CHL
DCI,"DECEPTION ISLAND, ANTARCTICA",ATA
CRN,"CORONATION ISLAND,ANTARCTICA",ATA
ZUD,"ANCUD, CHILE",CHL
MCA,"MACAPA, BRAZIL  - NO DEBARK",BRA
